form,status,pages,total_fields,text,checkbox,radio,dropdown,option_list,barcode,unknown,printed_exists,error
ar-11.pdf,ok,2,31,19,9,0,3,0,0,0,true,
g-1041.pdf,ok,3,77,64,8,0,2,0,3,0,true,
g-1041a.pdf,ok,3,82,65,13,0,1,0,3,0,true,
g-1055.pdf,ok,57,63,57,0,0,0,0,0,6,true,
g-1145.pdf,ok,1,6,5,0,0,0,0,1,0,true,
g-1256.pdf,ok,2,28,24,4,0,0,0,0,0,true,
g-1450.pdf,ok,1,29,20,7,0,1,0,1,0,true,
g-1566.pdf,ok,4,104,86,13,0,1,0,4,0,true,
g-1650.pdf,ok,1,17,12,4,0,0,0,1,0,true,
g-28.pdf,ok,4,101,72,23,0,2,0,4,0,true,
g-28i.pdf,ok,4,83,65,18,0,0,0,0,0,true,
g-325a.pdf,ok,6,172,140,24,0,2,0,6,0,true,
g-639.pdf,ok,11,159,113,44,0,2,0,0,0,true,
g-845-supplement.pdf,ok,7,152,98,52,0,2,0,0,0,true,
g-845.pdf,ok,4,111,52,59,0,0,0,0,0,true,
g-884.pdf,ok,6,143,121,18,0,4,0,0,0,true,
i-102.pdf,ok,5,115,81,23,0,6,0,5,0,true,
i-129.pdf,ok,38,980,585,333,0,24,0,38,0,true,
i-129cwr.pdf,ok,7,187,132,38,0,9,0,7,1,true,
i-129f.pdf,ok,12,445,277,140,0,16,0,12,0,true,
i-129s.pdf,ok,8,185,132,42,0,3,0,8,0,true,
i-130.pdf,ok,12,450,290,128,0,20,0,12,0,true,
i-130a.pdf,ok,6,194,145,36,0,7,0,6,0,true,
i-131.pdf,ok,14,339,175,143,0,7,0,14,0,true,
i-131a.pdf,ok,6,149,96,43,0,4,0,6,0,true,
i-134.pdf,ok,10,250,178,52,0,10,0,10,0,true,
i-134a.pdf,ok,14,342,244,74,0,24,0,0,0,true,
i-140.pdf,ok,8,262,171,79,0,3,0,8,1,true,
i-191.pdf,ok,18,499,344,118,0,19,0,18,0,true,
i-192.pdf,ok,9,203,151,37,0,6,0,9,0,true,
i-193.pdf,ok,2,34,28,6,0,0,0,0,0,true,
i-212.pdf,ok,10,298,198,77,0,13,0,10,0,true,
i-290b.pdf,ok,5,85,68,10,0,2,0,5,0,true,
i-360.pdf,ok,19,510,315,165,0,11,0,19,0,true,
i-361.pdf,ok,8,267,187,64,0,8,0,8,0,true,
i-363.pdf,ok,7,198,128,54,0,9,0,7,0,true,
i-407.pdf,ok,4,67,48,18,0,1,0,0,0,true,
i-485-supplement-a.pdf,ok,4,64,41,18,0,1,0,4,0,true,
i-485-supplement-j.pdf,ok,8,139,106,22,0,3,0,8,0,true,
i-485.pdf,ok,24,760,310,416,0,10,0,24,0,true,
i-508.pdf,ok,4,91,73,11,0,3,0,4,0,true,
i-526.pdf,ok,18,458,289,138,0,13,0,18,0,true,
i-526e.pdf,ok,16,442,243,172,0,11,0,16,0,true,
i-539.pdf,ok,7,159,87,61,0,4,0,7,0,true,
i-539a.pdf,ok,5,109,66,37,0,1,0,5,0,true,
i-589.pdf,ok,12,460,328,120,0,0,0,12,0,true,
i-590.pdf,ok,16,509,341,168,0,0,0,0,0,true,
i-600.pdf,ok,16,436,265,148,0,7,0,16,0,true,
i-600a.pdf,ok,13,308,198,92,0,5,0,13,0,true,
i-601.pdf,ok,11,280,157,103,0,9,0,11,0,true,
i-601a.pdf,ok,9,257,125,114,0,9,0,9,0,true,
i-602.pdf,ok,9,206,122,69,0,6,0,9,0,true,
i-612.pdf,ok,7,205,141,49,0,7,0,7,1,true,
i-687.pdf,ok,9,460,361,90,0,0,0,9,0,true,
i-690.pdf,ok,7,189,121,55,0,6,0,7,0,true,
i-693.pdf,ok,14,446,289,138,0,5,0,14,0,true,
i-694.pdf,ok,6,119,81,28,0,4,0,6,0,true,
i-698.pdf,ok,7,248,116,121,0,4,0,7,0,true,
i-730.pdf,ok,12,292,212,59,0,9,0,12,0,true,
i-751.pdf,ok,11,329,180,126,0,12,0,11,0,true,
i-765.pdf,ok,7,161,112,38,0,4,0,7,0,true,
i-765v.pdf,ok,7,232,131,87,0,7,0,7,0,true,
i-800.pdf,ok,14,331,192,115,0,10,0,14,0,true,
i-800a.pdf,ok,12,290,172,99,0,7,0,12,0,true,
i-817.pdf,ok,11,453,248,173,0,21,0,11,0,true,
i-821.pdf,ok,13,478,203,251,0,11,0,13,0,true,
i-821d.pdf,ok,7,234,119,96,0,12,0,7,0,true,
i-824.pdf,ok,6,181,148,23,0,4,0,6,0,true,
i-829.pdf,ok,10,359,218,118,0,13,0,10,0,true,
i-864.pdf,ok,12,219,163,41,0,3,0,12,0,true,
i-864a.pdf,ok,8,162,123,29,0,2,0,8,0,true,
i-864ez.pdf,ok,8,142,101,30,0,3,0,8,0,true,
i-865.pdf,ok,5,128,101,23,0,4,0,0,0,true,
i-881.pdf,ok,14,494,287,179,0,14,0,14,0,true,
i-9.pdf,ok,4,128,115,8,0,5,0,0,0,true,
i-90.pdf,ok,7,195,104,78,0,6,0,7,0,true,
i-907.pdf,ok,7,140,99,29,0,5,0,7,0,true,
i-912.pdf,ok,8,221,161,49,0,2,0,8,1,true,
i-914.pdf,ok,12,334,140,171,0,11,0,12,0,true,
i-918.pdf,ok,11,373,168,183,0,11,0,11,0,true,
i-929.pdf,ok,7,313,230,74,0,2,0,7,0,true,
i-941.pdf,ok,17,475,318,124,0,16,0,17,0,true,
i-942.pdf,ok,5,143,83,60,0,0,0,0,0,true,
i-956.pdf,ok,12,169,116,37,0,4,0,12,0,true,
i-956f.pdf,ok,17,318,208,87,0,6,0,17,0,true,
i-956g.pdf,ok,15,237,169,48,0,5,0,15,0,true,
i-956h.pdf,ok,10,212,122,77,0,3,0,10,0,true,
i-956k.pdf,ok,10,213,124,76,0,3,0,10,0,true,
n-300.pdf,ok,8,152,118,28,0,6,0,0,0,true,
